"lat","lon","numRecords","sppRichness","genRichness","subfamRichness"
56.5,-179.5,NA,NA,NA,NA
57.5,-179.5,NA,NA,NA,NA
58.5,-179.5,NA,NA,NA,NA
59.5,-179.5,NA,NA,NA,NA
60.5,-179.5,NA,NA,NA,NA
61.5,-179.5,NA,NA,NA,NA
62.5,-179.5,NA,NA,NA,NA
63.5,-179.5,NA,NA,NA,NA
64.5,-179.5,NA,NA,NA,NA
65.5,-179.5,NA,NA,NA,NA
66.5,-179.5,NA,NA,NA,NA
67.5,-179.5,NA,NA,NA,NA
68.5,-179.5,NA,NA,NA,NA
69.5,-179.5,NA,NA,NA,NA
70.5,-179.5,NA,NA,NA,NA
71.5,-179.5,NA,NA,NA,NA
72.5,-179.5,NA,NA,NA,NA
73.5,-179.5,NA,NA,NA,NA
74.5,-179.5,NA,NA,NA,NA
75.5,-179.5,NA,NA,NA,NA
76.5,-179.5,NA,NA,NA,NA
77.5,-179.5,NA,NA,NA,NA
78.5,-179.5,NA,NA,NA,NA
79.5,-179.5,NA,NA,NA,NA
80.5,-179.5,NA,NA,NA,NA
81.5,-179.5,NA,NA,NA,NA
82.5,-179.5,NA,NA,NA,NA
83.5,-179.5,NA,NA,NA,NA
84.5,-179.5,NA,NA,NA,NA
85.5,-179.5,NA,NA,NA,NA
86.5,-179.5,NA,NA,NA,NA
87.5,-179.5,NA,NA,NA,NA
88.5,-179.5,NA,NA,NA,NA
89.5,-179.5,NA,NA,NA,NA
-89.5,-178.5,NA,NA,NA,NA
-88.5,-178.5,NA,NA,NA,NA
-87.5,-178.5,NA,NA,NA,NA
-86.5,-178.5,NA,NA,NA,NA
-85.5,-178.5,NA,NA,NA,NA
-84.5,-178.5,NA,NA,NA,NA
-83.5,-178.5,NA,NA,NA,NA
-82.5,-178.5,NA,NA,NA,NA
-81.5,-178.5,NA,NA,NA,NA
-80.5,-178.5,NA,NA,NA,NA
-79.5,-178.5,NA,NA,NA,NA
-78.5,-178.5,NA,NA,NA,NA
-77.5,-178.5,NA,NA,NA,NA
-76.5,-178.5,NA,NA,NA,NA
-75.5,-178.5,NA,NA,NA,NA
-74.5,-178.5,NA,NA,NA,NA
-73.5,-178.5,NA,NA,NA,NA
-72.5,-178.5,NA,NA,NA,NA
-71.5,-178.5,NA,NA,NA,NA
-70.5,-178.5,NA,NA,NA,NA
-69.5,-178.5,NA,NA,NA,NA
-68.5,-178.5,NA,NA,NA,NA
